10.10.88.21       |  2022-05-31 15:50:51.491925      |  Administrator   |
10.10.88.21       |  2022-05-31 15:50:48.134269      |  Client          |
10.10.88.21       |  2022-05-31 15:23:54.762975      |  Administrator   |
10.10.88.21       |  2022-05-31 14:59:56.822669      |  Administrator   |
10.10.88.21       |  2022-05-31 14:59:54.347445      |  Client          |
192.168.8.103     |  2022-05-31 12:53:04.540110      |  Administrator   |
192.168.8.103     |  2022-05-31 12:52:57.822697      |  Client          |
192.168.8.103     |  2022-05-31 12:51:36.246022      |  Administrator   |
192.168.8.103     |  2022-05-31 12:51:34.553582      |  Client          |
192.168.8.103     |  2022-05-31 12:44:13.055489      |  Administrator   |
192.168.8.103     |  2022-05-31 12:44:10.603831      |  Client          |
192.168.8.103     |  2022-05-31 12:42:18.586521      |  Administrator   |
192.168.8.103     |  2022-05-31 12:42:10.743614      |  Client          |
192.168.8.103     |  2022-05-31 12:39:20.132565      |  Administrator   |
192.168.8.103     |  2022-05-31 12:39:12.945195      |  Client          |
192.168.8.103     |  2022-05-31 12:37:03.480977      |  Administrator   |
192.168.8.103     |  2022-05-31 12:36:40.491141      |  Client          |
192.168.8.103     |  2022-05-31 12:35:02.540294      |  Client          |
192.168.8.103     |  2022-05-31 12:34:44.079429      |  Administrator   |
192.168.8.103     |  2022-05-31 12:33:47.885928      |  Client          |
192.168.8.103     |  2022-05-31 12:33:12.671272      |  Administrator   |
<socket.socket fd=136, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('10.31.30.44', 5050), raddr=('10.31.30.44', 53194)>             --><socket.socket fd=588, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('10.31.30.44', 5050), raddr=('10.31.30.44', 53195)>             |  2022-05-30 16:22:30.951802      |
10.31.30.44       |  2022-05-30 16:14:41.011729      |  Client          |
10.31.30.44       |  2022-05-30 16:14:37.552584      |  Administrator   |
10.31.30.44       |  2022-05-30 16:06:42.515498      |  Client          |
10.31.30.44       |  2022-05-30 16:05:21.419293      |  Client          |
10.31.30.44       |  2022-05-30 16:04:55.515274      |  Client          |
10.31.30.44       |  2022-05-30 16:04:50.411006      |  Administrator   |

